comuna;superficie;nombre_comuna
11302;7784,69;O'Higgins
5503;268,12;Hijuelas
8308;1123,97;Quilaco
9209;265,40;Renaico
9202;1305,71;Collipulli
15201;5889,80;Putre
7110;262,88;San Rafael
8311;1250,94;Santa Bárbara
12102;3568,08;Laguna Blanca
11303;19991,43;Tortel
7203;369,36;Pelluhue
8309;1117,80;Quilleco
14202;2089,33;Futrono
9111;730,76;Nueva Imperial
6309;441,05;Pumanque
13130;9,63;San Miguel
3303;3221,49;Freirina
4204;3446,80;Salamanca
13118;12,81;Macul
7309;451,51;Vichuquén
6205;301,10;Navidad
3201;5760,88;Chañaral
4202;2195,75;Canela
16203;342,26;Coelemu
13119;136,81;Maipú
6301;2321,84;San Fernando
7108;433,49;Río Claro
16204;402,98;Ninhue
13123;14,45;Providencia
16101;477,18;Chillán
13131;6,32;San Ramón
10105;828,39;Frutillar
13120;16,90;Ñuñoa
1403;4010,99;Colchane
5602;176,17;Algarrobo
12101;17766,77;Punta Arenas
5803;231,28;Olmué
13603;189,62;Isla de Maipo
4304;1091,95;Punitaqui
13601;125,23;Talagante
16304;1541,23;San Fabián
8111;494,26;Tomé
8108;112,87;San Pedro de La paz
4105;1514,19;Paihuano
10304;1634,78;Puyehue
7102;1338,66;Constitución
9101;466,78;Temuco
6114;86,75;Quinta de Tilcoco
4102;1426,34;Coquimbo
5402;1455,10;Cabildo
2102;3577,59;Mejillones
10103;3977,99;Cochamó
10108;823,30;Maullín
10106;1230,18;Los Muermos
10107;433,10;Llanquihue
4203;1858,80;Los Vilos
5501;301,14;Quillota
9103;1888,71;Cunco
2104;20424,16;Taltal
2202;2927,64;Ollagüe
6303;508,76;Chimbarongo
5506;405,41;Nogales
9114;583,13;Pitrufquén
13102;16,82;Cerrillos
16301;876,94;San Carlos
6110;525,89;Mostazal
13113;23,39;La Reina
8202;959,90;Arauco
7302;628,67;Hualañé
6104;221,90;Coltauco
4303;4212,32;Monte Patria
9115;1247,27;Pucón
6308;144,27;Placilla
7106;330,87;Pelarco
16206;247,34;Ránquil
9106;567,79;Galvarino
5702;362,17;Catemu
10205;1229,92;Dalcahue
9205;3928,30;Lonquimay
13302;449,54;Lampa
14203;1763,27;Lago Ranco
9113;330,89;Perquenco
6108;2594,25;Machalí
3202;18981,67;Diego de Almagro
8203;1088,85;Cañete
9206;847,97;Los Sauces
12402;6216,33;Torres del Paine
16302;1770,87;Coihueco
4201;2629,14;Illapel
16106;1102,00;Pinto
8304;345,06;Laja
9112;463,68;Padre Las Casas
16205;289,10;Portezuelo
13202;444,85;Pirque
13105;14,25;El Bosque
14105;579,13;Máfil
13108;7,35;Independencia
5601;399,84;San Antonio
13403;73,12;Calera de Tango
5405;288,24;Zapallar
4104;4165,53;La Higuera
14102;729,65;Corral
13117;6,54;Lo Prado
9102;1337,13;Carahue
12302;3949,42;Primavera
14204;2171,65;Río Bueno
13301;971,09;Colina
5802;294,78;Limache
2103;12892,42;Sierra Gorda
16102;426,12;Bulnes
9208;463,99;Purén
5502;59,98;Calera
2302;12339,14;María Elena
8102;281,30;Coronel
5706;165,77;Santa María
3101;17792,72;Copiapó
8206;600,54;Los Álamos
10203;1361,93;Chonchi
13127;15,61;Recoleta
5605;99,50;El Tabo
13402;217,06;Buin
10401;8254,08;Chaitén
7305;306,61;Rauco
10109;4027,15;Puerto Varas
8312;913,67;Tucapel
16202;569,14;Cobquecura
7402;2926,99;Colbún
7303;272,74;Licantén
5101;310,67;Valparaíso
13128;23,68;Renca
3301;7228,14;Vallenar
11401;5736,72;Chile Chico
11102;5436,76;Lago Verde
1401;13775,46;Pozo Almonte
16201;589,78;Quirihue
5304;1374,98;San Esteban
11203;631,74;Guaitecas
7109;4501,05;San Clemente
9109;971,01;Loncoche
11101;7277,05;Coyhaique
12301;7462,68;Porvenir
5201;163,85;Isla de Pascua
3304;1601,95;Huasco
10207;331,04;Queilén
8105;535,80;Hualqui
6115;585,26;Rengo
9104;1165,66;Curarrehue
13124;198,58;Pudahuel
6203;619,42;Litueche
13107;44,99;Huechuraba
3102;3680,84;Caldera
4301;3549,11;Ovalle
1107;571,48;Alto Hospicio
16207;312,91;Trehuaco
6202;430,72;La Estrella
10102;587,53;Calbuco
9116;398,45;Saavedra
13501;1352,35;Melipilla
5705;1451,58;Putaendo
6106;112,47;Graneros
6304;596,69;Lolol
4103;514,25;Andacollo
8301;1748,01;Los Ángeles
13504;394,20;María Pinto
10101;1670,27;Puerto Montt
4106;7581,82;Vicuña
6204;657,58;Marchihue
14108;3294,61;Panguipulli
9210;896,85;Traiguén
8306;904,42;Nacimiento
6113;319,40;Pichidegua
9119;1415,41;Vilcún
13112;30,48;La Pintana
10305;1281,48;Río Negro
4305;2205,05;Río Hurtado
8302;1957,24;Antuco
6305;151,66;Nancagua
7403;1452,79;Longaví
11201;29891,62;Aysén
9120;1291,82;Villarrica
7406;1311,36;San Javier
6112;155,17;Peumo
1404;10479,18;Huara
6306;235,59;Palmilla
5404;1515,78;Petorca
7405;826,61;Retiro
10104;1276,20;Fresia
5606;536,53;Santo Domingo
16108;362,92;San Ignacio
16105;562,76;Pemuco
5804;96,33;Villa Alemana
13126;11,81;Quinta Normal
2203;23612,80;San Pedro de Atacama
8104;605,75;Florida
13111;10,05;La Granja
14104;1788,32;Los Lagos
14106;1319,33;Mariquina
7308;618,44;Teno
12401;48968,17;Natales
7408;258,85;Yerbas Buenas
1402;2201,45;Camiña
13201;88,41;Puente Alto
6201;714,76;Pichilemu
7103;1070,06;Curepto
6102;284,24;Codegua
9211;1261,78;Victoria
13404;677,62;Paine
6206;572,50;Paredones
10403;2833,20;Hualaihué
5604;51,40;El Quisco
8103;71,40;Chiguayante
2201;15544,66;Calama
10209;438,46;Quemchi
9121;427,13;Cholchol
13132;28,60;Vitacura
11402;6019,49;Río Ibáñez
6109;220,61;Malloa
5107;146,02;Quintero
11202;15421,24;Cisnes
14101;1018,52;Valdivia
7407;188,59;Villa Alegre
15102;3924,67;Camarones
9117;656,26;Teodoro Schmidt
6116;677,26;Requínoa
5403;166,14;Papudo
9203;1657,59;Curacautín
10402;1235,68;Futaleufú
10206;96,63;Puqueldón
13125;57,33;Quilicura
8107;108,37;Penco
13101;23,18;Santiago
8201;564,58;Lebu
6302;477,20;Chépica
12104;6710,62;San Gregorio
10302;1793,40;Puerto Octay
13503;694,01;Curacaví
5703;348,85;Llaillay
10306;1506,66;San Juan de la Costa
16107;406,35;Quillón
